epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,253.579,2.83237,5.2274,7.25012,2.41769,0,0.00386,0.01587,0.00044,0.00015,0.0004,0.03968,2e-05,0,2.84741,5.25675,8.02021,2.51978,0,0.0006,0.0006,0.0006
2,607.097,2.57615,4.22494,4.42303,2.14386,0,0.00223,0.22222,0.00067,0.00013,0.0004,0.03968,2e-05,0,3.1349,18.5921,9.51797,3.66074,0,0.00124159,0.00124159,0.00124159
3,999.911,2.66687,4.69918,3.90834,2.33163,0,0,0,0,0,0,0,0,0,1.80075,1792.45,7.19973,6.30156,0,0.00185677,0.00185677,0.00185677
4,1388.05,2.61075,4.6816,3.523,2.35286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018812,0.0018812,0.0018812
5,1785.24,2.77163,5.48342,3.58832,2.44243,0,0,0,0,0,0,0,0,0,4.75597,1.29694e+07,93765.5,4582.05,0,0.0018416,0.0018416,0.0018416
6,2217.73,2.75268,4.58074,3.64035,2.51646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,2639.76,2.67499,4.40263,3.30413,2.46942,0,0,0,0,0,0,0,0,0,0,0,0.0124,0,0,0.0017624,0.0017624,0.0017624
8,3018.02,2.54636,4.24832,3.12157,2.3525,0,0,0,0,0,0,0,0,0,3.99568,35106.7,9.34897,25.7999,0,0.0017228,0.0017228,0.0017228
9,3399.88,2.60795,4.04468,2.94844,2.35921,0,0.0011,0.00794,3e-05,1e-05,0,0,0,0,4.82544,4099.9,8.85635,21.6916,0,0.0016832,0.0016832,0.0016832
10,3785.07,2.54584,4.1398,2.89553,2.27194,0,0.0002,0.00794,0,0,0.00014,0.00794,0,0,4.02065,4599.73,607.421,19.605,0,0.0016436,0.0016436,0.0016436
11,4144.67,2.57594,3.99,3.01295,2.34587,0,0.01773,0.12698,0.00511,0.00127,0.00633,0.06349,0.00139,0.00025,3.53805,9.07061,17.4613,4.60493,0,0.001604,0.001604,0.001604
12,4501.76,2.51035,3.89097,2.87594,2.40028,0,0.04224,0.07143,0.01816,0.00488,0.05007,0.07143,0.02053,0.00362,3.13183,5.21715,12.2479,3.12779,0,0.0015644,0.0015644,0.0015644
13,4843.52,2.44535,3.96888,2.79936,2.31077,0,0.02422,0.07937,0.00653,0.0016,0.0317,0.10317,0.00671,0.00152,3.59371,29.8441,5.65274,3.6993,0,0.0015248,0.0015248,0.0015248
14,5182.74,2.51522,3.75986,2.79636,2.24256,0,0.14874,0.19048,0.07806,0.02171,0.09097,0.19048,0.03629,0.00796,3.10571,239.823,2.92396,2.80895,0,0.0014852,0.0014852,0.0014852
